Subject,Start Date,All Day Event,Description
Post Twitter automático,2025-08-18,TRUE,¿Sabías que puedes correr un LLM potente en tu PC sin internet? 🚀 #AI #opensource
Post Twitter automático,2025-08-19,TRUE,"MARTIN_LLM: tu IA local, gratis y libre. 👉 [GitHub link]"
Post Twitter automático,2025-08-20,TRUE,La privacidad importa. ¿Confiarías tus datos a la nube o a tu propio PC? 🤔 #Privacy #AI
Post Twitter automático,2025-08-21,TRUE,ChatGPT cuesta 20€/mes. MARTIN cuesta 0€. ¿Cuál eliges? #opensource
Post Twitter automático,2025-08-22,TRUE,"IA sin límites, sin suscripción, sin nube. Eso es MARTIN. 💻"
Post Twitter automático,2025-08-23,TRUE,Hoy probé MARTIN en un portátil de 2015 y funciona 🔥 ¿Lo intentas tú también?
Post Twitter automático,2025-08-24,TRUE,"Open source no es moda, es libertad. Y MARTIN lo demuestra. #FOSS #AI"
Post Twitter automático,2025-08-25,TRUE,Con MARTIN tus datos nunca salen de tu ordenador. Privacidad real. 🔒
Post Twitter automático,2025-08-26,TRUE,"El futuro de la IA no está en la nube, está en TU máquina. 🌍"
Post Twitter automático,2025-08-27,TRUE,¿Sabías que MARTIN se instala en 2 minutos? Tiempo de café ☕
Post Twitter automático,2025-08-28,TRUE,"Comparativa rápida: MARTIN (gratis, local) vs SaaS (pago, nube). ¿Cuál prefieres?"
Post Twitter automático,2025-08-29,TRUE,La IA no debería ser un lujo. MARTIN la hace accesible para todos. 💡
Post Twitter automático,2025-08-30,TRUE,¿Prefieres pagar suscripciones o tener tu propia IA local?
Post Twitter automático,2025-08-31,TRUE,"Construir en público es duro, pero el feedback lo vale. 🙌 #buildinpublic"
Post Twitter automático,2025-09-01,TRUE,Hoy usé MARTIN para escribir un post de LinkedIn en minutos. ¿Lo probarías?
Post Twitter automático,2025-09-02,TRUE,IA para programadores: MARTIN te ayuda en Python sin salir de tu PC.
Post Twitter automático,2025-09-03,TRUE,Si MARTIN ya te ahorró tiempo/dinero → ⭐ Dale un star en GitHub: [link]
Post Twitter automático,2025-09-04,TRUE,"MARTIN puede automatizar tu calendario, correos y más. 🚀"
Post Twitter automático,2025-09-05,TRUE,No más dependencias de la nube: MARTIN vive en tu hardware.
Post Twitter automático,2025-09-06,TRUE,Un dev feliz = un dev con control. Eso es MARTIN. 😎
Post Twitter automático,2025-09-07,TRUE,Los experimentos de hoy son las herramientas de mañana. #AI #opensource
Post Twitter automático,2025-09-08,TRUE,"Gracias por las ⭐ en GitHub, la comunidad crece. 🙏"
Post Twitter automático,2025-09-09,TRUE,¿Qué agente te gustaría ver integrado en MARTIN?
Post Twitter automático,2025-09-10,TRUE,La comunidad manda: tus ideas hacen crecer MARTIN. 💡
Post Twitter automático,2025-09-11,TRUE,Privacidad + IA + Open Source = MARTIN. ¿Te unes?
Post Twitter automático,2025-09-12,TRUE,"Deja de alquilar IA, empieza a poseerla. 🛠️"
Post Twitter automático,2025-09-13,TRUE,Open Source ≠ Gratis. Significa libertad. Y eso es invaluable.
Post Twitter automático,2025-09-14,TRUE,Cada estrella en GitHub nos acerca a un futuro con IA libre. ⭐
Post Twitter automático,2025-09-15,TRUE,MARTIN empieza a planear plugins Pro. ¿Qué te gustaría ver?
Post Twitter automático,2025-09-16,TRUE,Las grandes tech quieren tu cartera. MARTIN solo quiere tu CPU. 🔥
Post Twitter automático,2025-09-17,TRUE,IA descentralizada = poder distribuido. Ese es el camino. 🌐
Post Twitter automático,2025-09-18,TRUE,En 90 días logramos [X stars] en GitHub. ¡Esto es solo el inicio! 🚀
Post Twitter automático,2025-09-19,TRUE,El software libre siempre gana… porque la comunidad nunca se rinde. 💪
Post Twitter automático,2025-09-20,TRUE,"MARTIN es más que un proyecto, es un movimiento. ¿Lo apoyas?"
Post Twitter automático,2025-09-21,TRUE,"El futuro es local, privado y libre. MARTIN lo adelanta. 🔮"
Post Twitter automático,2025-09-22,TRUE,¿Sabías que puedes correr un LLM potente en tu PC sin internet? 🚀 #AI #opensource
Post Twitter automático,2025-09-23,TRUE,"MARTIN_LLM: tu IA local, gratis y libre. 👉 [GitHub link]"
Post Twitter automático,2025-09-24,TRUE,La privacidad importa. ¿Confiarías tus datos a la nube o a tu propio PC? 🤔 #Privacy #AI
Post Twitter automático,2025-09-25,TRUE,ChatGPT cuesta 20€/mes. MARTIN cuesta 0€. ¿Cuál eliges? #opensource
Post Twitter automático,2025-09-26,TRUE,"IA sin límites, sin suscripción, sin nube. Eso es MARTIN. 💻"
Post Twitter automático,2025-09-27,TRUE,Hoy probé MARTIN en un portátil de 2015 y funciona 🔥 ¿Lo intentas tú también?
Post Twitter automático,2025-09-28,TRUE,"Open source no es moda, es libertad. Y MARTIN lo demuestra. #FOSS #AI"
Post Twitter automático,2025-09-29,TRUE,Con MARTIN tus datos nunca salen de tu ordenador. Privacidad real. 🔒
Post Twitter automático,2025-09-30,TRUE,"El futuro de la IA no está en la nube, está en TU máquina. 🌍"
